,Rank,Suicide Rate,Sunshine Hours/Year
Guyana,2,40.3,246.06
Lithuania,7,26.1,169.1
South Africa,10,23.5,314.13
Ukraine,11,21.6,195.5
Belarus,12,21.2,180.7
Uruguay,13,21.2,248.14
Montenegro,14,21.0,248.1
Latvia,15,20.1,175.4
Slovenia,16,19.8,197.4
Belgium,17,18.3,154.6
Mongolia,19,17.9,279.15
Kazakhstan,20,17.6,243.15
Hungary,21,16.6,198.8
Croatia,22,16.4,227.2
Botswana,23,16.1,342.67
Finland,25,15.3,185.8
Japan,26,15.3,183.71
Estonia,27,14.9,11.55
Solomon Islands,29,14.7,233.0
Sweden,30,14.7,178.25
Austria,31,14.6,188.4
Switzerland,33,14.5,156.6
Zimbabwe,34,14.1,306.54
France,36,13.8,216.67
Mozambique,37,13.6,283.8
India,39,12.7,251.7
Australia,41,12.5,283.68
Central African Republic,42,12.3,254.65
Germany,43,12.3,164.4
Slovakia,45,12.1,203.8
Iceland,46,11.9,132.6
Canada,47,11.8,202.8
Netherlands,48,11.8,166.2
Norway,49,11.8,137.33
Portugal,50,11.5,277.0
Serbia,51,11.4,205.5
Luxembourg,52,11.3,163.4
Poland,53,11.3,157.1
Singapore,54,11.2,202.24
New Zealand,55,11.0,195.39
Bosnia and Herzegovina,56,10.9,176.9
Eritrea,57,10.9,336.1
Denmark,58,10.7,193.2
Bulgaria,59,9.7,217.7
Namibia,60,9.7,373.75
Romania,61,9.7,211.5
Djibouti,62,9.6,327.9
Ireland,64,9.6,145.3
North Macedonia,67,9.4,233.9
Georgia,68,9.2,204.6
Cameroon,69,9.0,216.51
Chile,70,9.0,284.18
Fiji,71,9.0,192.2
Pakistan,75,8.9,310.85
Thailand,76,8.8,217.5
Togo,77,8.8,258.0
Argentina,79,8.4,222.03
Gabon,80,8.4,172.02
China,81,8.1,202.86
Uzbekistan,84,8.0,282.39
Equatorial Guinea,85,7.9,154.9
Somalia,87,7.9,310.3
Benin,89,7.8,263.05
Spain,90,7.7,280.02
Ecuador,91,7.6,190.95
Burkina Faso,92,7.5,320.9
Zambia,95,7.3,296.55
Morocco,96,7.2,315.55
Guinea,98,7.0,244.0
Guinea-Bissau,99,7.0,270.7
Brazil,100,6.9,223.76
Democratic Republic of the Congo,101,6.7,222.5
Italy,102,6.7,237.23
Ghana,104,6.6,236.75
Congo,105,6.5,169.87
Chad,106,6.4,335.32
Burundi,109,6.2,237.34
Angola,110,6.1,234.1
El Salvador,111,6.1,295.7
Kenya,112,6.1,303.0
Malta,113,6.1,305.4
Paraguay,114,6.0,280.3
Saudi Arabia,115,6.0,323.65
Senegal,116,6.0,314.6
Madagascar,123,5.5,286.44
Ethiopia,125,5.4,278.49
Malawi,127,5.4,279.59
Israel,128,5.3,331.1
Mexico,129,5.3,259.62
Niger,130,5.3,320.32
Greece,132,5.1,277.3
Oman,135,4.9,349.33
Gambia,136,4.8,307.0
Uganda,138,4.6,230.4
Libya,140,4.5,317.81
Nicaragua,141,4.4,275.99
Albania,142,4.3,254.4
Afghanistan,145,4.1,317.51
Azerbaijan,146,4.1,220.74
Mali,147,4.1,309.99
Colombia,148,3.9,193.08
South Sudan,149,3.9,284.13
Sudan,150,3.8,355.95
Bangladesh,152,3.7,206.6
Cyprus,154,3.6,331.41
Iraq,155,3.6,324.08
Nigeria,157,3.5,266.91
Armenia,158,3.3,247.4
Tunisia,159,3.3,305.0
Mauritania,160,3.1,333.25
Egypt,161,3.0,371.07
Papua New Guinea,162,3.0,246.3
Panama,165,2.9,174.35
Peru,167,2.8,228.17
Algeria,170,2.5,326.65
Indonesia,171,2.4,252.16
Turkey,173,2.4,233.38
Philippines,174,2.2,210.31
Honduras,175,2.1,225.98
